dol vehicle id,clean_alternative_fuel_vehicle_type,make,model,new_or_used_vehicle,sale_price,dol_transaction_date,transaction_type,transaction_year,electric_vehicle_fee_paid,electric_range,vehicle_primary_use,meets_2019_hb_2042_electric_range_requirement
218961704,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,September 26 2022,Original Registration,2022,No,0,Passenger,FALSE
156896645,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,35745,May 28 2021,Original Title,2021,Not Applicable,0,Passenger,FALSE
156896645,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,May 28 2021,Original Registration,2021,No,0,Passenger,FALSE
156896645,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,June 14 2022,Registration Renewal,2022,No,0,Passenger,FALSE
135002276,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,2500,May 15 2019,Original Title,2019,Not Applicable,35,Passenger,TRUE
135002276,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 15 2019,Original Registration,2019,No,35,Passenger,TRUE
226213921,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 01 2022,Registration Renewal,2022,Yes,53,Passenger,TRUE
477965358,Battery Electric Vehicle (BEV),CHEVROLET,Spark,Used,8996,September 18 2019,Original Title,2019,Not Applicable,82,Passenger,TRUE
477965358,Battery Electric Vehicle (BEV),CHEVROLET,Spark,Used,0,September 18 2019,Original Registration,2019,No,82,Passenger,TRUE
301194624,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,May 24 2018,Registration at time of Transfer,2018,Yes,238,Passenger,TRUE
301194624,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,May 03 2019,Registration Renewal,2019,Yes,238,Passenger,TRUE
301194624,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,April 29 2020,Registration Renewal,2020,Yes,238,Passenger,TRUE
301194624,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,May 21 2021,Registration Renewal,2021,Yes,238,Passenger,TRUE
301194624,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,April 20 2022,Registration Renewal,2022,Yes,238,Passenger,TRUE
301194624,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,35500,May 24 2018,Transfer Title,2018,Not Applicable,238,Passenger,TRUE
150468307,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 30 2017,Original Registration,2017,No,38,Passenger,TRUE
150468307,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 13 2018,Registration Renewal,2018,Yes,38,Passenger,TRUE
257370781,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,1500,June 02 2022,Transfer Title,2022,Not Applicable,35,Passenger,TRUE
257370781,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,June 02 2022,Registration at time of Transfer,2022,Yes,35,Passenger,TRUE
126384212,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 07 2021,Registration Renewal,2021,Yes,35,Passenger,TRUE
126384212,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 23 2022,Registration Renewal,2022,Yes,35,Passenger,TRUE
126384212,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,13000,October 26 2018,Transfer Title,2018,Not Applicable,35,Passenger,TRUE
126384212,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 26 2018,Registration at time of Transfer,2018,Yes,35,Passenger,TRUE
126384212,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 23 2019,Registration Renewal,2019,Yes,35,Passenger,TRUE
126384212,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,December 07 2020,Registration Renewal,2020,Yes,35,Passenger,TRUE
113156557,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,35302,July 30 2020,Original Title,2020,Not Applicable,259,Commercial,TRUE
113156557,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,July 30 2020,Original Registration,2020,No,259,Commercial,TRUE
113156557,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,July 14 2021,Registration Renewal,2021,Yes,259,Commercial,TRUE
113156557,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,June 08 2022,Registration Renewal,2022,Yes,259,Commercial,TRUE
112704399,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,36620,July 30 2020,Original Title,2020,Not Applicable,259,Commercial,TRUE
112704399,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,July 30 2020,Original Registration,2020,No,259,Commercial,TRUE
112704399,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,July 14 2021,Registration Renewal,2021,Yes,259,Commercial,TRUE
112704399,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,June 08 2022,Registration Renewal,2022,Yes,259,Commercial,TRUE
348876286,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,36620,November 20 2017,Original Title,2017,Not Applicable,238,Commercial,TRUE
348876286,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,November 20 2017,Original Registration,2017,No,238,Commercial,TRUE
348876286,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,October 31 2018,Registration Renewal,2018,Yes,238,Commercial,TRUE
348876286,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,November 18 2019,Registration Renewal,2019,Yes,238,Commercial,TRUE
348876286,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,October 19 2020,Registration Renewal,2020,Yes,238,Commercial,TRUE
299707208,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,36620,November 20 2017,Original Title,2017,Not Applicable,238,Commercial,TRUE
172246217,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 15 2016,Registration at time of Transfer,2016,No,35,Passenger,TRUE
349574578,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,23990,December 20 2018,Transfer Title,2018,Not Applicable,53,Passenger,TRUE
349574578,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,December 20 2018,Registration at time of Transfer,2018,Yes,53,Passenger,TRUE
349574578,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,November 22 2019,Registration Renewal,2019,Yes,53,Passenger,TRUE
349574578,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,November 23 2020,Registration Renewal,2020,Yes,53,Passenger,TRUE
235711444,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 05 2017,Transfer Title,2017,Not Applicable,35,Passenger,TRUE
235711444,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 06 2016,Registration Renewal,2016,No,35,Passenger,TRUE
235711444,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,July 25 2017,Registration Renewal,2017,Yes,35,Passenger,TRUE
146500742,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,December 28 2015,Registration Renewal,2015,No,38,Passenger,TRUE
348839158,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,June 07 2021,Registration Renewal,2021,Yes,238,Passenger,TRUE
348839158,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,July 07 2022,Registration Renewal,2022,Yes,238,Passenger,TRUE
219607713,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,500,October 01 2022,Original Title,2022,Not Applicable,38,Passenger,TRUE
145761577,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 27 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
145761577,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 15 2021,Registration Renewal,2021,Yes,38,Passenger,TRUE
145761577,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,February 22 2022,Registration Renewal,2022,Yes,38,Passenger,TRUE
207226491,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,24990,June 21 2022,Original Title,2022,Not Applicable,53,Passenger,TRUE
207226491,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,June 21 2022,Original Registration,2022,No,53,Passenger,TRUE
475265598,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,13998,October 31 2018,Original Title,2018,Not Applicable,38,Passenger,TRUE
475265598,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 31 2018,Original Registration,2018,No,38,Passenger,TRUE
475265598,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 11 2019,Registration Renewal,2019,Yes,38,Passenger,TRUE
475265598,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 14 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
475265598,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 14 2021,Registration Renewal,2021,Yes,38,Passenger,TRUE
475265598,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 13 2022,Registration Renewal,2022,Yes,38,Passenger,TRUE
139833613,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,39050,January 11 2021,Original Title,2021,Not Applicable,259,Passenger,TRUE
139833613,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,January 11 2021,Original Registration,2021,No,259,Passenger,TRUE
328995334,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,31413,March 25 2019,Original Title,2019,Not Applicable,53,Passenger,TRUE
328995334,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,March 25 2019,Original Registration,2019,No,53,Passenger,TRUE
239885152,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 23 2014,Registration Renewal,2014,No,38,Passenger,TRUE
239885152,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 20 2015,Registration Renewal,2015,No,38,Passenger,TRUE
176588765,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 28 2016,Registration at time of Transfer,2016,No,38,Passenger,TRUE
176588765,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 28 2016,Transfer Title,2016,Not Applicable,38,Passenger,TRUE
176588765,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 11 2017,Registration Renewal,2017,Yes,38,Passenger,TRUE
154404197,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,40185,May 21 2021,Original Title,2021,Not Applicable,0,Passenger,FALSE
154404197,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,May 21 2021,Original Registration,2021,No,0,Passenger,FALSE
107131433,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,July 18 2012,Original Registration,2012,No,35,Passenger,TRUE
107131433,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,July 18 2012,Original Title,2012,Not Applicable,35,Passenger,TRUE
107131433,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 30 2013,Registration Renewal,2013,No,35,Passenger,TRUE
242708441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,12990,June 27 2018,Transfer Title,2018,Not Applicable,38,Passenger,TRUE
242708441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,June 27 2018,Registration at time of Transfer,2018,Yes,38,Passenger,TRUE
242708441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,June 20 2019,Registration Renewal,2019,Yes,38,Passenger,TRUE
242708441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 19 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
242708441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,July 22 2022,Registration Renewal,2022,Yes,38,Passenger,TRUE
122773990,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,17598,April 29 2021,Transfer Title,2021,Not Applicable,53,Passenger,TRUE
122773990,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,April 29 2021,Registration at time of Transfer,2021,Yes,53,Passenger,TRUE
154404197,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,May 17 2022,Registration Renewal,2022,Yes,0,Passenger,FALSE
313211832,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,43510,May 04 2017,Original Title,2017,Not Applicable,238,Passenger,TRUE
313211832,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,May 04 2017,Original Registration,2017,No,238,Passenger,TRUE
313211832,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,March 07 2018,Registration Renewal,2018,Yes,238,Passenger,TRUE
8448723,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 10 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
144308860,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,21256,November 19 2021,Transfer Title,2021,Not Applicable,53,Passenger,TRUE
144308860,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,November 19 2021,Registration at time of Transfer,2021,Yes,53,Passenger,TRUE
318472850,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,40858,September 15 2017,Original Title,2017,Not Applicable,238,Passenger,TRUE
318472850,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,September 15 2017,Original Registration,2017,No,238,Passenger,TRUE
318472850,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,August 06 2018,Registration Renewal,2018,Yes,238,Passenger,TRUE
318472850,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,July 29 2019,Registration Renewal,2019,Yes,238,Passenger,TRUE
318472850,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,August 24 2020,Registration Renewal,2020,Yes,238,Passenger,TRUE
318472850,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,August 09 2021,Registration Renewal,2021,Yes,238,Passenger,TRUE
201092237,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 06 2017,Original Registration,2017,No,38,Passenger,TRUE
160461479,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,June 17 2016,Original Registration,2016,No,35,Passenger,TRUE
160461479,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,June 17 2016,Original Title,2016,Not Applicable,35,Passenger,TRUE
349007172,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,33325,November 16 2017,Original Title,2017,Not Applicable,53,Passenger,TRUE
349007172,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,November 16 2017,Original Registration,2017,No,53,Passenger,TRUE
349007172,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 04 2018,Registration Renewal,2018,Yes,53,Passenger,TRUE
176320805,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 21 2015,Registration at time of Transfer,2015,No,35,Passenger,TRUE
176320805,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 21 2015,Transfer Title,2015,Not Applicable,35,Passenger,TRUE
156952442,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 12 2013,Registration Renewal,2013,No,38,Passenger,TRUE
475028956,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,28708,April 16 2019,Original Title,2019,Not Applicable,53,Passenger,TRUE
475028956,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,April 16 2019,Original Registration,2019,No,53,Passenger,TRUE
475028956,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,February 03 2020,Registration Renewal,2020,Yes,53,Passenger,TRUE
475028956,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,February 01 2021,Registration Renewal,2021,Yes,53,Passenger,TRUE
475028956,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,February 08 2022,Registration Renewal,2022,Yes,53,Passenger,TRUE
144952034,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,39000,March 05 2019,Original Title,2019,Not Applicable,53,Passenger,TRUE
144952034,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,March 05 2019,Original Registration,2019,No,53,Passenger,TRUE
144952034,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 31 2020,Registration Renewal,2020,Yes,53,Passenger,TRUE
144952034,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 25 2021,Registration Renewal,2021,Yes,53,Passenger,TRUE
144952034,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,January 27 2022,Registration Renewal,2022,Yes,53,Passenger,TRUE
208751252,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 06 2018,Registration Renewal,2018,Yes,38,Passenger,TRUE
208751252,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 05 2019,Registration Renewal,2019,Yes,38,Passenger,TRUE
208751252,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 16 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
208751252,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 13 2021,Registration Renewal,2021,Yes,38,Passenger,TRUE
208751252,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 07 2022,Registration Renewal,2022,Yes,38,Passenger,TRUE
