dol vehicle id,clean_alternative_fuel_vehicle_type,make,model,new_or_used_vehicle,sale_price,dol_transaction_date,transaction_type,transaction_year,electric_vehicle_fee_paid,electric_range,vehicle_primary_use,meets_2019_hb_2042_electric_range_requirement
147252010,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,March 04 2022,Registration Renewal,2022,Yes,0,Passenger,FALSE
118520461,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,37570,December 01 2017,Original Title,2017,Not Applicable,53,Passenger,TRUE
118520461,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,December 01 2017,Original Registration,2017,No,53,Passenger,TRUE
118520461,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,October 12 2018,Registration Renewal,2018,Yes,53,Passenger,TRUE
145131738,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,November 05 2013,Original Registration,2013,No,38,Passenger,TRUE
145131738,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,New,0,November 05 2013,Original Title,2013,Not Applicable,38,Passenger,TRUE
172484441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,13998,April 01 2017,Transfer Title,2017,Not Applicable,38,Passenger,TRUE
172484441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,April 01 2017,Registration at time of Transfer,2017,Yes,38,Passenger,TRUE
172484441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 23 2019,Registration Renewal,2019,Yes,38,Passenger,TRUE
172484441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 30 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
172484441,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,May 17 2021,Registration Renewal,2021,Yes,38,Passenger,TRUE
